公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN213578495U","CN202022389665.X","一种生物芯片干燥处理装置","20201025","20210629","20210629","F26B 11/04 | F26B 25/06 | F26B 25/16 | F26B 21/00 | F26B 25/00","F26B","","","8","无锡格瑞普恩医疗科技有限公司","无锡格瑞普恩医疗科技有限公司","陈勇建 | 陈美霞 | 陈丽敏 | 陈燕燕 | 许国平","陈勇建","0","0","0","0","0","0","有效","0","32",
"CN113030460A","CN202110222441.6","一种用于检测磁敏生物芯片信号的手持仪器","20210226","20210625",,"G01N 33/543","G01N","","","7","西安交通大学","西安交通大学","胡飞 | 王怀玉 | 彭年才 | 张航","胡飞","0","0","0","0","0","0","公开","0","19",
"CN113009169A","CN202110222445.4","一种用于多个磁敏生物芯片的自动检测仪","20210226","20210622",,"G01N 35/00 | G01N 33/53 | G01N 33/543","G01N","","","10","西安交通大学","西安交通大学","彭年才 | 王怀玉 | 胡飞 | 张航","彭年才","0","0","0","0","0","0","公开","0","20",
"CN213503537U","CN202022386906.5","一种生物芯片分类储存装置","20201024","20210622","20210622","B65D 25/02 | B65D 55/14 | B65D 25/28 | B65D 43/22 | B65D 25/54 | B65D 51/24 | B65D 25/24 | F21V 33/00","B65D","","","8","无锡格瑞普恩医疗科技有限公司","无锡格瑞普恩医疗科技有限公司","陈勇建 | 陈美霞 | 陈丽敏 | 陈燕燕 | 许国平","陈勇建","0","0","0","0","0","0","有效","0","27",
"CN112986552A","CN202110519689.9","一种检测黄曲霉毒素B1的生物芯片及其制备方法","20210513","20210618","20210730","G01N 33/53 | B01L  3/00 | C12M  1/00 | G01N 33/543 | H01L 33/36","G01N","","","7","佛山微奥云生物技术有限公司","佛山微奥云生物技术有限公司","刘晓竹 | 张志东 | 徐海 | 李俊 | 林杰","刘晓竹","0","0","0","0","0","0","有效","0","13",
"CN213468829U","CN202022387823.8","一种生物芯片的清洗固定装置","20201024","20210618","20210618","B08B  3/02 | B08B  3/08 | B08B 13/00 | F26B  5/08","B08B","","","10","无锡格瑞普恩医疗科技有限公司","无锡格瑞普恩医疗科技有限公司","陈勇建 | 陈美霞 | 陈丽敏 | 陈燕燕 | 许国平","陈勇建","0","0","0","0","0","0","有效","0","19",
"CN112940920A","CN202110132625.3","生物芯片分析仪","20210131","20210611",,"C12M  1/34 | C12M  1/00 | C12M  1/36 | C12M  1/38","C12M","","","10","新羿制造科技（北京）有限公司","新羿制造科技北京有限公司","白宇 | 杜晓纯 | 刘金伟 | 韩应敏 | 刘晓彬 | 夏雷 | 杨文军","白宇","0","0","0","0","0","0","公开","0","13",
"CN213416826U","CN202021525951.8","一种生物芯片孵育反应器","20200729","20210611","20210611","C12M  1/00 | G01N 33/53","C12M","","","8","广东汇杰电力集团有限公司 | 广东汇杰数字研究院（有限合伙）","广东汇杰电力集团有限公司 | 广东汇杰数字研究院有限合伙","李雁梅 | 杨迎辉","李雁梅","0","0","0","0","0","0","有效","0","23",
"CN112920931A","CN202110152410.8","一种生物芯片杂交盒","20210203","20210608",,"C12M  1/00 | C12M  1/04 | C12M  1/12 | G01N 33/53","C12M","","","10","刘家宝","刘家宝","刘家宝","刘家宝","0","0","0","0","0","0","公开","0","21",
"CN213398589U","CN202021972123.9","一种生物芯片容置底座的分离装置","20200910","20210608","20210608","G01N 33/68 | C12M  1/00 | G01N 33/48","G01N","","","5","四川中科微纳科技有限公司","四川中科微纳科技有限公司","郭银潮","郭银潮","0","0","0","0","0","0","有效","0","17",
"CN112896769A","CN202110065263.0","一种生物芯片检测装置","20210118","20210604",,"B65D 25/52 | B65D 25/02 | B65D 25/10 | B65D 25/28 | B65D 43/16 | B65D 81/07","B65D","","","7","林天坪","林天坪","林天坪","林天坪","0","0","0","0","0","0","公开","0","28",
"CN213348927U","CN202021580033.5","一种用于制备真空光感键合微流控生物芯片的装置","20200803","20210604","20210604","B01L  3/00 | B81C  1/00 | B81C  3/00","B01L","","","5","杭州欧光芯科技有限公司","杭州欧光芯科技有限公司","张琬皎 | 龙眈","张琬皎","0","0","0","0","0","0","有效","0","22",
"CN213302257U","CN202021776871.X","一种生物芯片点样仪用基片固定机构","20200824","20210528","20210528","G01N 35/10","G01N","","","6","南京裕隆生物医学发展有限公司","南京裕隆生物医学发展有限公司","穆海东 | 汪宁梅 | 李盛","穆海东","0","0","0","0","0","0","有效","0","21",
"CN112836397A","CN202110337815.9","连续微流控生物芯片下存储最小化的高级综合设计方法","20210330","20210525",,"G06F 30/20 | G06F113/08","G06F","","","4","福州大学","福州大学","刘耿耿 | 林泓星 | 黄兴 | 徐赛娟 | 郭文忠 | 陈国龙","刘耿耿","0","0","0","0","0","0","公开","0","16",
